Amats,Uzņēmums,Darba vietas adrese,Alga bruto,Aktuāla līdz
PIENA PRODUKTU RAŽOŠANAS IEKĀRTU OPERATORS,"Akciju sabiedrība ""SMILTENES PIENS""","Mūrnieku iela 2, Smiltene, Smiltenes nov.",No 1200 ,30.11.2023
PĀRDOŠANAS SPECIĀLISTS,"SIA ""FerroLat""","Liepāja,Kapsēdes iela 3A",1373 - 1500 ,30.11.2023
PROJEKTA VADĪTĀJS,"""Baltijas Apdrošināšanas Nams"" apdrošināšanas akciju sabiedrība","Friča Brīvzemnieka iela 52, Liepāja",700 - 1000 ,30.11.2023
Deju kolektīva REPETITORS,Lielvārdes kultūras nams,"Parka iela 3, Lielvārde, Ogres nov.",5.5 ,23.11.2023
IESTĀDES VADĪTĀJS /ĢENERĀLDIREKTORS /DIREKTORS /PRIEKŠNIEKS /PRIEKŠSĒDĒTĀJS,"""EDUCATION BRIDGE"" SIA","Lomonosova iela 4, Rīga",1500 - 2000 ,30.12.2023
Zinātniskais ASISTENTS,Rīgas Tehniskā universitāte,Rīga,5 - 10 ,23.11.2023
PĒTNIEKS,Rīgas Tehniskā universitāte,Rīga,200 - 1000 ,23.11.2023
VADOŠAIS PĒTNIEKS,Rīgas Tehniskā universitāte,Rīga,8 - 20 ,23.11.2023
PREČU PIEGĀDĀTĀJS,"Sabiedrība ar ierobežotu atbildību ""ICE AVENUE""","Ernestīnes iela 8 k-1 - 82, Rīga",1373 ,23.01.2024
PĒTNIEKS,Rīgas Tehniskā universitāte,Rīga,2000 ,23.11.2023
KRAVAS AUTOMOBIĻA VADĪTĀJS,"Sabiedrība ar ierobežotu atbildību ""Aloitte""","Mežotnes iela 33, Rīga",1373 - 1600 ,23.03.2024
KRĀVĒJS (ROKU DARBS),"Sabiedrība ar ierobežotu atbildību ""Aloitte""","Mežotnes iela 33, Rīga",1373 - 1400 ,29.03.2024
BŪVKONSTRUKCIJU MONTĒTĀJS,DKN Industrial Assemblies SIA,"Jēkabpils, Jēkabpils nov.",1400 ,29.12.2023
APDARES DARBU STRĀDNIEKS,"Sabiedrība ar ierobežotu atbildību ""VECVAGARI M""","Dzirnavu iela 15, Saldus, Saldus nov.",1000 - 1500 ,29.12.2023
PĀRDOŠANAS SPECIĀLISTS,"GREENVALLEY, SIA","Pils iela 13, Sigulda, Siguldas nov.",1300 - 1500 ,23.11.2023
SKOLOTĀJA PALĪGS,Rīgas 241.pirmskolas izglītības iestāde,"Hipokrāta iela 25, Rīga",737 - 844 ,31.12.2023
ELEKTRIĶIS,SIA AVOTI,"Avoti, Lizuma pag., Gulbenes nov.",1800 ,22.12.2023
MEHĀNIĶIS,SIA AVOTI,"Avoti, Lizuma pag., Gulbenes nov.",1400 ,22.12.2023
NAMDARIS,"Valsts sociālās aprūpes centrs ""Zemgale""","Smiltaiņi, Iecava, Bauskas nov.",648 - 974 ,03.12.2023
MOTORZĀĢA OPERATORS,"SIA ""Kankuļi Timber""","Kankuļi, Rušonas pag., Preiļu nov.",1500 - 1800 ,31.12.2023
Zvanu centru OPERATORS,"SIA ""Latvju Īpašumu Fonds""","Dēļu iela 7, Rīga",620 - 3000 ,30.11.2023
GRANULU RAŽOŠANAS OPERATORS,"Sabiedrība ar ierobežotu atbildību ""Varpa""","Priedkalnes, Vecborne, Kaplavas pag., Krāslavas nov.",1000 ,23.11.2023
VISPĀRĒJĀS PAMATIZGLĪTĪBAS SKOLOTĀJS,Rīgas 6.vidusskola,"Aleksandra Čaka iela 102, Rīga",1278 ,22.01.2024
KRAVAS AUTOMOBIĻA VADĪTĀJS,"Sabiedrība ar ierobežotu atbildību ""VG-UNION""","Brūklenes, Kolna Ančupāni, Vērēmu pag., Rēzeknes nov.",1410 ,04.12.2023
IESTĀDES VADĪTĀJS /ĢENERĀLDIREKTORS /DIREKTORS /PRIEKŠNIEKS /PRIEKŠSĒDĒTĀJS,"""EDUCATION BRIDGE"" SIA","Lomonosova iela 4, Rīga",1500 - 2000 ,01.12.2023
SOCIĀLAIS DARBINIEKS DARBAM AR ĢIMENI UN BĒRNIEM,Dobeles novada Sociālais dienests,"Stacijas iela 8, Bēne, Bēnes pag., Dobeles nov.",1150 ,22.12.2023
SOCIĀLAIS DARBINIEKS DARBAM AR ĢIMENI UN BĒRNIEM,Dobeles novada Sociālais dienests,"Priežu iela 24 - 31, Gardene, Auru pag., Dobeles nov.",1150 ,22.12.2023
KRAVAS AUTOMOBIĻA VADĪTĀJS,"Sabiedrība ar ierobežotu atbildību ""AST GRUPA""","Maskavas iela 456A, Rīga",1373 - 1500 ,01.12.2023
TRAKTORA VADĪTĀJS,"Daugavpils novada Višķu pagasta zemnieku saimniecība ""Bērziņi""","Lielā jaunā muiža, Jaunmuiža, Rušonas pag., Preiļu nov.",800 ,31.12.2023
KRAVAS AUTOMOBIĻA VADĪTĀJS,"Daugavpils novada Višķu pagasta zemnieku saimniecība ""Bērziņi""","Lielā jaunā muiža, Jaunmuiža, Rušonas pag., Preiļu nov.",1000 - 1200 ,31.12.2023
PSIHIATRS,"Valsts sabiedrība ar ierobežotu atbildību ""Slimnīca ""Ģintermuiža""""","Filozofu iela 69, Jelgava",14.59 ,23.11.2023
PSIHIATRS,"Valsts sabiedrība ar ierobežotu atbildību ""Slimnīca ""Ģintermuiža""""","Filozofu iela 69, Jelgava",14.59 ,23.11.2023
LOPKOPIS,"Ludzas novada Briģu pagasta Poddubjes sādžas zemnieku saimniecība ""CERĪBA""","Poddubje, Briģu pag., Ludzas nov.",620 ,01.12.2023
PAVĀRS,SIA Konfūcija Restorāns,"Pulkveža Brieža iela 13, Rīga",1200 - 1500 ,01.03.2024
REMONTSTRĀDNIEKS,"Sabiedrība ar ierobežotu atbildību ""Winteh""","Zeltiņu iela 52, Mārupe, Mārupes pag., Mārupes nov.",1385 ,29.02.2024
FINANŠU ANALĪTIĶIS,"Sabiedrība ar ierobežotu atbildību ""Misechko & Partners, Law firm""","Lāčplēša iela 14 - 13, Rīga",1373 ,30.11.2023
APKOPĒJS,Ogres novada Kultūras centrs,"Brīvības iela 15, Ogre, Ogres nov.",620 ,30.11.2023
ELEKTRISKO IEKĀRTU SPECIĀLISTS,Ogres novada Kultūras centrs,"Brīvības iela 15, Ogre, Ogres nov.",No 1140 ,30.11.2023
PIRMSSKOLAS IZGLĪTĪBAS MŪZIKAS SKOLOTĀJS,Rēzeknes valstspilsētas pašvaldības Izglītības pārvalde,"Kooperatīva šķērsiela 4, Rēzekne",310 ,24.11.2023
BŪVSTRĀDNIEKS,SIA MAVERIK,"Rīga,Jelgava un citi objekti Latvijā",1373 - 1400 ,19.01.2024
LOKMETINĀTĀJS METINĀŠANĀ AR VOLFRAMA ELEKTRODU INERTĀS GĀZES VIDĒ (TIG),"SIA ""RIG CONSULTING""","Neilandi 1, Rītausmas, Īslīces pag., Bauskas nov.",1373 - 1500 ,31.01.2024
GĀZMETINĀTĀJS (OAW),"SIA ""RIG CONSULTING""","Neilandi 1, Rītausmas, Īslīces pag., Bauskas nov.",1373 - 1500 ,31.01.2024
TEHNISKAIS SPECIĀLISTS,Sabiedrība ar ierobežotu atbildību ADEGO GROUP,"Nulpes iela 27, Rīga",1500 ,30.11.2023
PROGRAMMĒTĀJS,AS Mintos Marketplace,"Skanstes iela 52, Rīga",1373 - 4500 ,30.11.2023
AUTOMEHĀNIĶIS,"Sabiedrība ar ierobežotu atbildību ""EZ1""","Dzirnavu iela 10, Ludza, Ludzas nov.",620 ,01.12.2023
PALĪGSTRĀDNIEKS,"Sabiedrība ar ierobežotu atbildību ""MEGA RP""","Valdeķu iela 36, Rīga",1373 ,20.01.2024
APKOPĒJS,Friča Brīvzemnieka pamatskola,"Zeļļu iela 4, Rīga",620 ,27.11.2023
PAŠVALDĪBAS POLICIJAS PAMATDARBĪBAS STRUKTŪRVIENĪBAS VADĪTĀJA VIETNIEKS /PRIEKŠNIEKA VIETNIEKS,Ropažu novada pašvaldība,"Ropažu novada pašvaldības policija - Acones iela 4, Ulbroka, Stopiņu pagasts, Ropažu novads",1746 - 2021 ,30.11.2023
VADĪTĀJS /DIREKTORS /ĢENERĀLDIREKTORS /PĀRVALDNIEKS /PREZIDENTS /VICEPREZIDENTS /IZPILDDIREKTORS /PRIEKŠSĒDĒTĀJS /PRIEKŠNIEKS /ĢENERĀLSEKRETĀRS,SIA ECO INVESTMENTS,"Prūšu iela 23B - 13, Rīga",1373 ,30.12.2023
MŪRNIEKS,"SIA ""AA Lazurīts""",Komandējumi uz Vāciju,16 - 17 ,30.11.2023
JURISTS,Rīgas valstspilsētas pašvaldības Finanšu departaments,"Terēzes iela 5, Rīga",1799 - 2199 ,23.11.2023
DEGVIELAS UZPILDES STACIJAS PĀRDEVĒJS,"AS ""VIADA Baltija""","Granīta iela 7A, Rīga",5.94 - 11.88 ,30.11.2023
DEGVIELAS UZPILDES STACIJAS PĀRDEVĒJS,"AS ""VIADA Baltija""","Maskavas iela 293A, Rīga",5.94 - 11.88 ,30.11.2023
SĀKUMIZGLĪTĪBAS SKOLOTĀJS,"Jelgavas valstspilsētas pašvaldības iestāde ""Jelgavas izglītības pārvalde""","Filozofu iela 50, Jelgava",1224 ,30.11.2023
PALĪGSTRĀDNIEKS,"SIA ""ARBORA""","Rīgas iela 37A, Vecumnieki, Vecumnieku pag., Bauskas nov.",1373 ,31.12.2023
REAKTĪVO DZINĒJU INŽENIERIS,"""SMARTLYNX AIRLINES"", SIA","Mazrūdas, Mārupes pag., Mārupes nov.",2800 - 3200 ,01.04.2024
PROJEKTA KOORDINATORS,"Krāslavas rajona Kaplavas pagasta zemnieku saimniecība ""ERLAIN""","Blaumaņa iela 22, Rīga",1500 ,18.01.2024
APKURES /KRĀŠŅU KURINĀTĀJS,"SIA ""Banga Ltd""","Akas iela 74B, Roja, Rojas pag., Talsu nov.",700 ,30.11.2023
PĀRDEVĒJS KONSULTANTS,"SIA ""TELEMARKET""","O. Kalpaka iela 27, Gulbene, Gulbenes nov.",620 - 1300 ,30.11.2023
KRAVAS AUTOMOBIĻA VADĪTĀJS,"SIA ""OMUSS""","Ventspils iela 2, Rēzekne,starptautiskie pārvadājumi",1200 - 1600 ,01.12.2023
CEHA STRĀDNIEKS,SIA LLR-ECOTECH,"Ganību dambis 21A, Rīga",1373 ,30.11.2023
NOLIKTAVAS DARBINIEKS,"Sabiedrība ar ierobežotu atbildību ""Lat Eko Food""","Muižas iela 18A, Ādaži, Ādažu nov.",7 ,01.12.2023
SĒTNIEKS,"Sabiedrība ar ierobežotu atbildību ""KURZEMES NAMI""","Krišjāņa Barona iela 40A, Jelgava",370 ,30.11.2023
KOMPLEKTĒTĀJS (IESAIŅOTĀJS),"Sabiedrība ar ierobežotu atbildību ""UniConRec""","Garozes iela 31, Rīga",1373 - 1400 ,20.01.2024
PALĪGSTRĀDNIEKS,"Sabiedrība ar ierobežotu atbildību ""UniConRec""","Garozes iela 31, Rīga",1373 - 1400 ,20.01.2024
BŪVSTRĀDNIEKS,"Sabiedrība ar ierobežotu atbildību ""UniConRec""","Garozes iela 31, Rīga",1373 - 1400 ,20.01.2024
NOLIKTAVAS PĀRZINIS,"AS ""SPODRĪBA""","Dzirnavu iela 1, Dobele, Dobeles nov.",1000 - 1500 ,30.11.2023
BŪVSTRĀDNIEKS,"Sabiedrība ar ierobežotu atbildību ""AND 111""","Rūpniecības iela 19 - 1, Rīga",1373 ,31.01.2024
ELEKTROTEHNIĶIS,"Sabiedrība ar ierobežotu atbildību ""TRENDSETTERS""","Stirnu iela 34, Rīga",1800 - 2200 ,23.11.2023
ELEKTRIĶIS,"Sabiedrība ar ierobežotu atbildību ""Biznesa Vadības Konsultācijas""","Elijas iela 19A, Rīga",1373 - 1500 ,01.04.2024
APSARDZES DARBINIEKS,"Sabiedrība ar ierobežotu atbildību ""Secure Solutions Latvia""","Ieriķu iela, Rīga",1500 - 2000 ,30.11.2023
ELEKTROMEHĀNISKO IEKĀRTU MEHĀNIĶIS,"Sabiedrība ar ierobežotu atbildību ""AXON CABLE""","Višķu iela 21C, Daugavpils",800 ,07.12.2023
KVALITĀTES TEHNIĶIS,"Sabiedrība ar ierobežotu atbildību ""AXON CABLE""","Višķu iela 21C, Daugavpils",1000 ,07.12.2023
STROPĒTĀJS,"SIA ""SKONTO PREFAB""","Granīta iela 31 k-1, Acone, Salaspils pag., Salaspils nov.",8.5 ,31.12.2023
CELTŅA OPERATORS,"SIA ""SKONTO PREFAB""","Granīta iela 31 k-1, Acone, Salaspils pag., Salaspils nov.",9 ,31.12.2023
MEISTARS (enerģētikas jomā),"Rīgas valstspilsētas pašvaldības aģentūra ""Rīgas gaisma""","Kleistu iela 29, Rīga",1859 ,23.11.2023
ELEKTROIETAIŠU EKSPLUATĀCIJAS INŽENIERIS,"Rīgas valstspilsētas pašvaldības aģentūra ""Rīgas gaisma""","Kleistu iela 29, Rīga",1794 ,23.11.2023
SOCIĀLAIS DARBINIEKS,"Valsts sociālās aprūpes centrs ""Rīga""","Stāmerienas iela 4, Rīga",1030 - 1356 ,30.11.2023
APRŪPĒTĀJS,Bauskas novada pašvaldība,"Atvasaras, Vecumnieki, Vecumnieku pag., Bauskas nov.",728 ,31.12.2023
SKOLOTĀJS LOGOPĒDS,Daugavpils pilsētas 4. pirmsskolas izglītības iestāde,"Podnieku iela 1, Daugavpils",360 ,11.12.2023
Biroja VADĪTĀJS,"Sabiedrība ar ierobežotu atbildību ""TRENDSETTERS""","Krišjāņa Valdemāra iela 38 k-1, Rīga",1400 - 1700 ,23.11.2023
MAZUMTIRDZNIECĪBAS VEIKALA VADĪTĀJS,"""MAXIMA Latvija"" SIA","Gustava Zemgala gatve 74, Rīga",1300 ,04.12.2023
VIESMĪLIS,SIA INCREMENTUM PLUS,"Raunas iela 12, Cēsis, Cēsu nov.",5.1 - 6.3 ,30.11.2023
SAIMNIECĪBAS VADĪTĀJS,Rēzeknes valstspilsētas pašvaldības Izglītības pārvalde,"Kr. Valdemāra iela 18, Rēzekne",834 ,22.12.2023
BIROJA ADMINISTRATORS,SIA Kness Baltic,"Bieķensalas iela 21, Rīga",No 1200 ,31.12.2023
TEHNISKAIS DIREKTORS,"SIA ""MI Solutions""","Blaumaņa iela 22, Rīga",1500 ,18.01.2024
TRAKTORTEHNIKAS VADĪTĀJS,"Sabiedrība ar ierobežotu atbildību ""Wood4ex""","Stiebriņi, Vecumnieku pag., Bauskas nov.",1200 ,30.11.2023
MAIŅAS VECĀKAIS,"SIA ""RIMI LATVIA""","Hipokrāta iela 2, Rīga",1010 - 1130 ,07.12.2023
MAZUMTIRDZNIECĪBAS VEIKALA PĀRDEVĒJS,"SIA ""RIMI LATVIA""","Hipokrāta iela 2, Rīga",5.1 - 5.6 ,30.11.2023
TRAUKU MAZGĀTĀJS,"SIA ""RIMI LATVIA""","Satekles iela 2B, Rīga",4.35 ,30.11.2023
MAZUMTIRDZNIECĪBAS VEIKALA PĀRDEVĒJS,"SIA ""RIMI LATVIA""","Džutas, Krustkalni, Ķekavas pag., Ķekavas nov.",4.8 - 5.5 ,30.11.2023
Koka ZĀĢĒTĀJS (kokapstrādes jomā),"Rožkalnu pagasta zemnieku saimniecība ""ŠŅEPSTU JAUNĀRES""","Brieži, Rožkalnu pag., Preiļu nov.",1000 - 1500 ,30.11.2023
AUTOATSLĒDZNIEKS,"Sabiedrība ar ierobežotu atbildību ""Aleks Group""","Jupatovkas iela 9A, Rēzekne",620 - 650 ,14.12.2023
ŠEFPAVĀRS,SIA Doner King,"Kalpaka bulvāris 12A, Rīga",1400 ,19.01.2024
SANTEHNIĶIS,"""Caverion Latvija"" SIA","Dēļu iela 4, Rīga",1300 - 1700 ,18.12.2023
Ceļu būves palīgSTRĀDNIEKS,"Sabiedrība ar ierobežotu atbildību ""DSM Meistari""","Lielirbes iela 17A, Rīga",1373 - 1500 ,19.04.2024
KRAVAS AUTOMOBIĻA VADĪTĀJS,"Sabiedrība ar ierobežotu atbildību ""AT CARGO""","Spīdolas iela 2 - 6, Liepāja",1377 - 1500 ,31.12.2023
AUTOMOBIĻU MAZGĀTĀJS,"Sabiedrība ar ierobežotu atbildību ""AUTAVA""","Sila iela 33A, Rīga",1373 ,31.12.2023
BŪVDARBU VADĪTĀJS,"SIA ""ASTRAL Recruiting""",Liepāja,1800 - 2800 ,04.12.2023
ELEKTRONIKAS INŽENIERIS,"SIA ""Pulsar Optics""","Stiklu iela 7P, Daugavpils",1373 - 2200 ,29.12.2023
ERGOTERAPEITS,"SIA ""Rīgas 1. slimnīca""","Bruņinieku iela 5 k-2, Rīga",934.95 ,13.12.2023
PALĪGSTRĀDNIEKS,"Sabiedrība ar ierobežotu atbildību ""LĀČI""","Benūžu Skauģi, Babītes pag., Mārupes nov.",650 - 700 ,31.12.2023
SAGĀDNIEKS,"Sabiedrība ar ierobežotu atbildību ""LĀČI""","Benūžu Skauģi, Babītes pag., Mārupes nov.",No 7.5 ,31.12.2023
BIROJA ADMINISTRATORS,"SIA ""Chemical Technologies""","Ganību dambis 36, Rīga",1000 - 1400 ,10.12.2023
KABEĻU LĪNIJU ELEKTROMONTIERIS,"KDC, SIA","Saldus, Saldus nov.",1000 - 1400 ,30.11.2023
TEHNISKAIS DIREKTORS,"Krāslavas rajona Kaplavas pagasta zemnieku saimniecība ""ERLAIN""","Blaumaņa iela 22, Rīga",1500 ,18.01.2024
BŪVSTRĀDNIEKS,"Sabiedrība ar ierobežotu atbildību ""AMB Solutions""","Gogoļa iela 3, Rīga",1373 ,01.05.2024
SANTEHNIĶIS,"SIA ""Rīgas ūdens""","Ziepniekkalna iela 70, Rīga",7.6 ,30.11.2023
BŪVINSPEKTORS,Tukuma novada pašvaldība,"Talsu iela 4, Tukums, Tukuma nov.",1920 - 2113 ,24.11.2023
PALĪGSTRĀDNIEKS,"Sabiedrība ar ierobežotu atbildību ""DSM Meistari""",Daugavpils,1373 - 1400 ,08.10.2024
APDARES DARBU TEHNIĶIS,"""Caverion Latvija"" SIA","Dēļu iela 4, Rīga",1250 - 1700 ,18.12.2023
PALĪGSTRĀDNIEKS,"Sabiedrība ar ierobežotu atbildību ""OK BŪVMATERIĀLI""","Trapi, Mārupe, Mārupes nov.",6.73 - 7 ,30.11.2023
PALĪGSTRĀDNIEKS,"SIA ""Nordlat2015""","Aristida Briāna iela 13, Rīga",1373 ,18.01.2024
TĪRĪTĀJS (ROKU DARBA),SIA INTERMARK,Rīga,1373 - 1400 ,31.12.2023
BŪVNIEKS,"SIA ""Nordlat2015""","Aristida Briāna iela 13, Rīga",1373 ,18.01.2024
KRĀSOTĀJS,"SIA ""Nordlat2015""","Aristida Briāna iela 13, Rīga",1373 ,18.01.2024
PROJEKTA KOORDINATORS,"SIA ""MI Solutions""",Rīga,1500 ,18.01.2024
PIRMSSKOLAS IZGLĪTĪBAS SKOLOTĀJS,"Jūrmalas pirmsskolas izglītības iestāde ""Namiņš""","Poruka prospekts 14, Jūrmala",1240 ,29.12.2023
KRAVAS NOFORMĒTĀJS,"""Latvijas Pasts"", Valsts akciju sabiedrība","Ziemeļu iela 10, Lidosta ""Rīga"", Mārupes pag., Mārupes nov.",1100 - 1800 ,30.11.2023
Informācijas tehnoloģiju projektu VADĪTĀJS,Grand Turismo Agentura SIA,"Graudu iela 30 - 5, Rīga",2350 ,18.01.2024
ĀRSTS (STAŽIERIS),"Valsts sabiedrība ar ierobežotu atbildību ""Slimnīca ""Ģintermuiža""""","Filozofu iela 69, Jelgava",13.49 ,23.11.2023
NOLIKTAVAS STRĀDNIEKS,"SIA ""SVAN Hub""","Jelgavas ceļš 34 k-2 - 20, Tīraine, Mārupes pag., Mārupes nov.",1377 - 1400 ,31.12.2023
ROKAS LOKMETINĀTĀJS (MMA),"Sabiedrība ar ierobežotu atbildību ""KATAK""","Sāremas iela 3, Rīga",1373 - 1700 ,30.11.2023
KOMPLEKTĒTĀJS,SIA Simurg Balticum,"Slokas iela 52, Rīga",970 ,30.11.2023
ĀRĒJO SAKARU ORGANIZATORS,Rīgas Valsts tehnikums,"Krišjāņa Valdemāra iela 1C, Rīga",1050 - 1200 ,31.12.2023
MĀSA/ vispārējās aprūpes MĀSA,"SIA ""Rīgas veselības centrs""","Kaņiera iela 13, Rīga",7.95 ,09.12.2023
KRAVAS AUTOMOBIĻA VADĪTĀJS,"Sabiedrība ar ierobežotu atbildību ""Labour scout""",LATVIJA,1400 - 1900 ,18.01.2024
KRAVAS AUTOMOBIĻA VADĪTĀJS,"""ADELANTEKS"", Sabiedrība ar ierobežotu atbildību","Braslas iela 22, Rīga",1337 ,01.03.2024
NOLIKTAVAS PĀRZINIS,"Sabiedrība ar ierobežotu atbildību ""Kreicuma gardumiņš""","Pļaviņas, Aizkraukles nov.",620 ,30.11.2023
RAŽOŠANAS BRIGADIERIS,"SIA ""STARTEX BALTIC""","Randēnu iela 10, Aizkraukle, Aizkraukles nov.",1200 - 1800 ,27.11.2023
PIRMSSKOLAS IZGLĪTĪBAS MŪZIKAS SKOLOTĀJS,Ogres novada pašvaldība,"Irbenāju iela 2, Ikšķile, Ogres nov.",1314 ,31.12.2023
PALĪGSTRĀDNIEKS,"Sabiedrība ar ierobežotu atbildību ""Santa un partneri""","Lielā iela 69 k-2, Rīga",1000 - 1400 ,18.01.2024
PIRMSSKOLAS IZGLĪTĪBAS SKOLOTĀJS,Rīgas 210. pirmsskolas izglītības iestāde,"Brūžu iela 6, Rīga",1054 ,17.01.2024
SKOLOTĀJA PALĪGS,Rīgas 210. pirmsskolas izglītības iestāde,"Brūžu iela 6, Rīga",620 ,17.01.2024
IEPIRKUMU SPECIĀLISTS,"Sabiedrība ar ierobežotu atbildību ""I-Work Group""",Kuldīgas nov.,1400 - 2000 ,30.11.2023
SKOLOTĀJA PALĪGS,Rīgas 210. pirmsskolas izglītības iestāde,"Brūžu iela 6, Rīga",794.58 ,17.01.2024
APKOPĒJS,"Sabiedrība ar ierobežotu atbildību ""CĒSU KLĪNIKA""","Slimnīcas iela 9, Cēsis, Cēsu nov.",620 ,30.11.2023
MEHĀNIĶIS (INŽENIERIS),"""Nexis Fibers"" SIA","Višķu iela 21, Daugavpils",1500 ,07.12.2023
PĀRDOŠANAS SPECIĀLISTS,"SIA ""BPO""","Valmiera, Valmieras nov.",800 - 1400 ,27.11.2023
IEPIRKUMU SPECIĀLISTS,"Sabiedrība ar ierobežotu atbildību ""I-Work Group""",Valmieras nov.,1400 - 2000 ,30.11.2023
BRUĢĒTĀJS,"sabiedrība ar ierobežotu atbildību ""ROADEKS""","Kalnciema iela 67, Rīga",8 ,30.11.2023
TRAKTORTEHNIKAS VADĪTĀJS,"sabiedrība ar ierobežotu atbildību ""ROADEKS""","Kalnciema iela 67, Rīga",1100 - 1350 ,30.11.2023
Ceļu būves palīgSTRĀDNIEKS,"sabiedrība ar ierobežotu atbildību ""ROADEKS""","Kalnciema iela 67, Rīga",7.5 - 8 ,30.11.2023
KRAVAS AUTOMOBIĻA VADĪTĀJS,"sabiedrība ar ierobežotu atbildību ""ROADEKS""","Kalnciema iela 67, Rīga",7.8 - 8.5 ,30.11.2023
PAVĀRS,"SIA ""EMco Latvia""","Acones iela 5, Ulbroka, Stopiņu pag., Ropažu nov.",1373 - 1400 ,17.04.2024
AUTOKRĀVĒJA VADĪTĀJS,"SIA ""DEPO DIY""","Noliktavu iela 9, Dreiliņi, Stopiņu pag., Ropažu nov.",7.48 - 8.31 ,30.11.2023
BŪVSTRĀDNIEKS,"Sabiedrība ar ierobežotu atbildību ""VISS MĀJAI""","Zemitāna iela 9 k-1, Rīga",1377 - 1400 ,30.12.2023
PSIHOLOGS,"Valsts sociālās aprūpes centrs ""Zemgale""","Ropaži, Ropažu pag., Ropažu nov.",500 - 678 ,26.11.2023
ASFALTĒTĀJS,"sabiedrība ar ierobežotu atbildību ""ROADEKS""","Kalnciema iela 67, Rīga",7.5 - 8.5 ,30.11.2023
RADIO UN TELEVĪZIJAS IEKĀRTU MEHĀNIĶIS,"SIA ""Universālais Energoceltnieks""","Krišjāņa Valdemāra iela 147 k-2, Rīga",1373 ,01.12.2023
TIRGVEDĪBAS UN TIRDZNIECĪBAS SPECIĀLISTS,"SIA ""DYNATECH""","Jeruzalemes iela 1, Rīga",1800 - 2000 ,31.12.2023
SOCIĀLAIS APRŪPĒTĀJS,Dobeles novada Sociālais dienests,"Namiņš, Lejasstrazdi, Dobeles pag., Dobeles nov.",5.69 ,30.11.2023
PĀRDOŠANAS SPECIĀLISTS,"SIA ""BPO""","Cēsis, Cēsu nov.",800 - 1400 ,27.11.2023
AUTOMEHĀNIĶIS,"Sabiedrība ar ierobežotu atbildību ""NORDE""","Skanstes iela 31A, Rīga",1820 - 2500 ,30.11.2023
AUTOMOBIĻU SKĀRDNIEKS,"Sabiedrība ar ierobežotu atbildību ""NORDE""","Skanstes iela 31A, Rīga",2550 ,30.11.2023
AUTOMOBIĻU MAZGĀTĀJS,"Sabiedrība ar ierobežotu atbildību ""NORDE""","Skanstes iela 31A, Rīga",850 - 1120 ,30.11.2023
AUTOVIRSBŪVJU REMONTATSLĒDZNIEKS,"Sabiedrība ar ierobežotu atbildību ""NORDE""","Skanstes iela 31A, Rīga",1700 - 2900 ,30.11.2023
RADIOLOGS,"Pašvaldības sabiedrība ar ierobežotu atbildību ""Kauguru veselības centrs""","Raiņa iela 98A, Jūrmala",1515 - 3500 ,11.12.2023
ZOBĀRSTS,"Pašvaldības sabiedrība ar ierobežotu atbildību ""Kauguru veselības centrs""","Raiņa iela 98A, Jūrmala",1555 - 3500 ,11.12.2023
AMBULATORĀS APRŪPES ĀRSTA PALĪGS,"Pašvaldības sabiedrība ar ierobežotu atbildību ""Kauguru veselības centrs""","Raiņa iela 98A, Jūrmala",1116 ,11.12.2023
CEHA STRĀDNIEKS,"Sabiedrība ar ierobežotu atbildību ""True Colour""","Lizuma pag., Gulbenes nov.",1380 ,31.12.2023
ZOBU HIGIĒNISTS,"Pašvaldības sabiedrība ar ierobežotu atbildību ""Kauguru veselības centrs""","Raiņa iela 98A, Jūrmala",992 ,11.12.2023
METĀLMATERIĀLU METINĀTĀJS,"Akciju sabiedrība ENERGOFIRMA ""JAUDA""","Krustpils iela 119, Rīga",1380 ,31.12.2023
PĀRDOŠANAS SPECIĀLISTS,"SIA ""BPO""","Rēzekne,Rēzeknes novads",800 - 1400 ,27.11.2023
ELEKTRIĶIS,"SIA ""Rehabilitācijas centrs ""Līgatne""""","Skaļupes, Līgatnes pag., Cēsu nov.",8.5 ,31.12.2023
ELEKTRIĶIS,"Sabiedrība ar ierobežotu atbildību ""BALTIC CANDLES Ltd""","Uzvaras iela 22, Dobele, Dobeles nov.",5.59 - 11.59 ,01.12.2023
KOKA IZSTRĀDĀJUMU KOMPLEKTĒTĀJS,"SIA ""ERTE Grupa""","Rūtas iela 2, Gardene, Auru pag., Dobeles nov.",1000 - 1400 ,30.11.2023
ZĀĢMATERIĀLU RAŽOŠANAS OPERATORS,"SIA ""ERTE Grupa""","Jaunkļavas, Gardene, Auru pag., Dobeles nov.",1000 - 1600 ,30.11.2023
VIRTUVES DARBINIEKS,"SIA ""DSJOBS""","Aldaru iela 11 k-6, Rīga",1373 ,17.01.2024
SANTEHNIĶIS,"Sabiedrība ar ierobežotu atbildību ""ĶEGUMA STARS""","Kuģu iela 5, Ķegums, Ogres nov.",900 ,30.11.2023
Namu PĀRVALDNIEKS,"Sabiedrība ar ierobežotu atbildību ""ĶEGUMA STARS""","Kuģu iela 5, Ķegums, Ķeguma nov.",1050 ,30.11.2023
CIPARU VADĪBAS FRĒZĒŠANAS OPERATORS,"Sabiedrība ar ierobežotu atbildību ""Baltic Signs Europe""","Patversmes iela 17, Rīga",1400 - 1500 ,30.01.2024
