Amats,Uzņēmums,Darba vietas adrese,Alga bruto,Aktuāla līdz
MEHĀNIĶIS,"Valsts akciju sabiedrība ""Latvijas autoceļu uzturētājs""","Raiņa bulvāris 15, Alūksne, Alūksnes nov.",1250 - 1550 ,30.11.2023
INFORMĀCIJAS SISTĒMU ADMINISTRATORS,Valsts darba inspekcija,"Krišjāņa Valdemāra iela 38 k-1, Rīga",1388 - 1665 ,01.12.2023
PAŠVALDĪBAS PAMATDARBĪBAS STRUKTŪRVIENĪBAS VADĪTĀJS /DIREKTORS /PRIEKŠNIEKS,Mārupes novada pašvaldība,"Daugavas iela 29, Mārupe, Mārupes nov.",2300 ,29.11.2023
ŠUVĒJS,"SIA ""PEPI RER""","Varoņu iela 39A, Valka, Valkas nov.",900 - 1100 ,31.12.2023
KONDITORS,"""FIRMA MADARA 89"" SIA","Daugavpils iela 6, Dagda, Krāslavas nov.",750 ,01.12.2023
MAZUMTIRDZNIECĪBAS VEIKALA VADĪTĀJS,"Sabiedrība ar ierobežotu atbildību ""VITA mārkets""","Rīgas prospekts 1, Ziemeļblāzma, Skultes pag., Limbažu nov.",1100 ,29.11.2023
MAZUMTIRDZNIECĪBAS VEIKALA VADĪTĀJS,"Sabiedrība ar ierobežotu atbildību ""VITA mārkets""","Ainažu iela 113, Zvejniekciems, Saulkrastu pag., Saulkrastu nov.",1300 ,29.11.2023
INTERNISTS,"SIA ""Rīgas Austrumu klīniskā universitātes slimnīca""","Hipokrāta iela 2, Rīga",1821 ,17.12.2023
IESTĀDES VADĪTĀJA PALĪGS,"SIA ""Silkeborg Spaantagning Baltic""","Kapsēdes iela 2, Liepāja",2500 ,31.01.2024
Jūrnieku profesionālās apmācības PASNIEDZĒJS (instruktors),Rīgas Tehniskās universitātes Liepājas Jūrniecības koledža,"Uliha iela 5, Liepāja",16 ,30.11.2023
VECĀKAIS REFERENTS,Valsts aizsardzības militāro objektu un iepirkumu centrs,"Ernestīnes iela 34, Rīga",1254 - 1388 ,05.12.2023
VECĀKAIS REFERENTS,Valsts aizsardzības militāro objektu un iepirkumu centrs,"Ernestīnes iela 34, Rīga",1254 - 1388 ,05.12.2023
PEDAGOGS,Ogres novada pašvaldība,"Zinību iela 3, Ogre, Ogres nov.",1300 - 1350 ,30.11.2023
INSTRUMENTU /MEHĀNIKAS INŽENIERIS,Latvia MGI Tech SIA,"Lidostas parks, Mārupes pag., Mārupes nov.",1600 - 2000 ,16.01.2024
Dzīvnieku barības ražošanas iekārtu OPERATORS,"SIA ""Baltic Agro""","Kuldīgas iela 88, Saldus, Saldus nov.",1200 - 1500 ,28.11.2023
